Day,Net Profit (Accumulated) (USD)
0,0
1,-12600
2,-284740
3,-314880
4,-233115
5,-142090
6,-54137
7,143524
8,276318
9,550002
10,1319313
11,1837315
12,3170828
13,3888036
14,5194115
15,5756815
16,5800791
17,5867238
18,6295878
19,6353266
20,6356383
21,7148745
22,7188446
23,7467703
24,8173040
25,8487016
26,8865508
27,9168151
28,9137803
29,10032813
30,10124167
31,9982569
32,9864750
33,10128659
34,9971783
35,9719417
36,10561155
37,11383962
38,11853149
39,12740485
40,12944984
41,13026349
42,13350245
43,13422072
44,13661642
45,13798242
46,13776057
47,14391472
48,14758015
49,14803628
50,14783615
51,14876611
52,14518461
53,15662056
54,15464887
55,15867580
56,16431558
57,16490829
58,16612743
59,16759695
60,16942780
61,17026146
62,17263992
63,17589893
64,17761260
65,17988456
66,18144109
67,18259873
68,18825148
69,18910375
70,19226888
71,19291872
72,19998728
73,20316150
74,20445893
75,20594204
76,20443105
77,20569112
78,20996588
79,21308587
80,21573314
81,22078628
82,23037323
83,22880954
84,23401089
85,23398439
86,23249140
87,22879920
88,22767668
89,22965765
90,22993575
